,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?
141,650.0,Newbury Park,3382497.0,3592500.0,3929789.0,3845309.0,3918391.0,3929000.0,4395879.0,4619010.0,4327727.0,5429546.0,5249584.0,4729847.0,5079924.0,3168498.0,2218404.0,Central,London Underground,Yes,,,,Yes
142,651.0,New Cross,2272307.0,,,,,,,,,,,,,,,,,,,,,
143,652.0,New Cross Gate,3563251.0,,,,,,,,,,,,,,,,,,,,,
144,653.0,North Acton,4991655.0,5102093.0,4716127.0,4811151.0,4641664.0,5199834.0,5465012.0,5678995.0,6106253.0,6530887.0,6459225.0,5909108.0,6241955.0,3717589.0,3148552.0,Central,London Underground,Yes,,,,Yes
145,654.0,North Ealing,869730.0,916956.0,936369.0,877995.0,936906.0,898266.0,860944.0,894137.0,892594.0,905402.0,786073.0,798689.0,880333.0,507381.0,357588.0,Piccadilly,London Underground,Yes,,,,No
146,655.0,Northfields,4058754.9999999995,4056418.0,3924262.0,3826102.0,3789290.0,3976939.0,4102497.9999999995,4210924.0,4080122.0000000005,3913283.0,3785696.0,3664816.0,3975886.0,1899266.0,1630938.0,Piccadilly,London Underground,Yes,,,,Yes
147,656.0,North Harrow,1432114.0,1480192.0,1449100.0,1412851.0,1423481.0,1540858.0,1685908.0,1816014.0,1937838.0,1968198.0,1833325.0,1835839.0,1930536.0,954512.0,769257.0,Metropolitan,London Underground,Yes,,,,No
148,657.0,Northolt,3413498.0,3515942.0,3736606.0,4054941.9999999995,4279014.0,4417710.0,4611479.0,4992642.0,5026000.0,5157171.0,4921293.0,4784063.0,4976954.0,3383878.0,2467440.0,Central,London Underground,Yes,,,,No
149,659.0,North Wembley,1370773.0,1399678.0,1467339.0,1396982.0,1572627.0,1643799.0,1647314.0,1660434.0,1836732.0,1791287.0,2279055.0,2149594.0,2121901.0,1550566.0,1093549.0,"Bakerloo, London Overground",London Underground,Yes,,Yes,,No
150,660.0,Northwick Park,3540049.0,3736299.0,3616612.0,3478437.0,3577980.0,3790022.0,3946956.0,4440388.0,4588128.0,4651799.0,4311177.0,4142560.0,4357031.0,2426206.0,1836276.0,Metropolitan,London Underground,Yes,,,,No
151,661.0,Northwood,1942899.0,1935448.0,1933813.0,1900165.0,1971642.0,2182311.0,2280491.0,2462889.0,2475743.0,2488831.0,2897563.0,2630662.0,2743087.0,1515209.0,1274615.0,Metropolitan,London Underground,Yes,,,,No
152,662.0,Northwood Hills,1282445.0,1378044.0,1315818.0,1252358.0,1294249.0,1409847.0,1483623.0,1629043.0,1720439.0,1910904.0,1918400.0,1856472.0,1903375.0,1165488.0,831677.0,Metropolitan,London Underground,Yes,,,,No
153,663.0,Notting Hill Gate,16894545.0,16853354.0,17364829.0,17876742.0,17355461.0,17277512.0,17394388.0,17400155.0,16683962.000000002,17184657.0,15456337.0,13812400.0,15070782.0,5682051.0,6404193.0,"Central, Circle, District",London Underground,Yes,,,,Yes
154,664.0,Oakwood,2612314.0,2840198.0,2914899.0,2898027.0,2740918.0,2413451.0,2785115.0,2935164.0,2842657.0,2875067.0,2736346.0,2648492.0,2780380.0,1310286.0,1290796.0,Piccadilly,London Underground,Yes,,,,Yes
155,665.0,Old Street,17927250.0,19243903.0,19607520.0,20051825.0,21039484.0,21880078.0,21855888.0,23276520.0,25143510.0,25966550.0,25083479.0,25533008.0,27107822.0,6683590.0,9635310.0,Northern,London Underground,Yes,,,,No
156,667.0,Osterley,2056058.9999999998,2058633.0,2063962.0,2031966.0000000002,2145820.0,2189757.0,2317893.0,2458246.0,2350196.0,2315575.0,2079080.0,2043230.0,2179739.0,963611.0,911252.0,Piccadilly,London Underground,Yes,,,,Yes
157,668.0,Oval,5922092.0,5921214.0,5791736.0,5634420.0,5846190.0,6109161.0,5911952.0,6397929.0,6968322.0,6447853.0,6983973.0,7027340.0,7170152.0,3313152.0,3129276.0,Northern,London Underground,Yes,,,,Yes
158,669.0,Oxford Circus,72046333.0,72914886.0,72719762.0,70122354.0,77092776.0,80551504.0,85246928.0,98511630.0,92355623.0,83258977.0,79778619.0,73639833.0,78073457.0,14598777.0,32863152.0,"Bakerloo, Central, Victoria",London Underground,Yes,,,,Yes
159,670.0,Paddington TfL,37237088.0,40703979.0,42024813.0,43995091.0,46478735.0,46325618.0,49710749.0,49283385.0,49637302.0,49480436.0,46331280.0,47011593.0,48612110.0,11420070.0,20437217.0,"Circle, District, Hammersmith & City",London Underground,Yes,,,,No
160,671.0,Park Royal,1590678.0,1592807.0,1625925.0,1684245.0,1583000.0,1575786.0,1643912.0,1976904.0,2019381.9999999998,2015314.0,1923720.0,1896819.0,2047993.0,1245850.0,918333.0,Piccadilly,London Underground,Yes,,,,No
161,672.0,Parsons Green,5075378.0,5126408.0,5449662.0,5690881.0,5944855.0,6187009.0,6452463.0,6799064.0,6822161.0,6746851.0,6442093.0,6357956.0,6558793.0,3026008.0,2993897.0,District,London Underground,Yes,,,,No
162,673.0,Perivale,1968909.0,2090825.0000000002,2030902.0000000002,2038525.0,2080788.0,2164790.0,2243955.0,2337555.0,2405584.0,2460144.0,2389751.0,2425638.0,2444064.0,1503990.0,1080893.0,Central,London Underground,Yes,,,,No
163,674.0,Piccadilly Circus,38087335.0,38853181.0,38567356.0,39675335.0,40583552.0,42357331.0,41703911.0,42932327.0,42796831.0,41291525.0,38573777.0,36004485.0,38396960.0,4175738.0,14144793.0,"Bakerloo, Piccadilly",London Underground,Yes,,,,Yes
164,675.0,Pinner,2253132.0,2309129.0,2258335.0,2198745.0,2303547.0,2470413.0,2606534.0,2837149.0,3084213.0,3198703.0,3266903.0,3366921.0,2960479.0,1360437.0,1280875.0,Metropolitan,London Underground,Yes,,,,No
165,676.0,Plaistow,5880743.0,6307995.0,6164459.0,6137394.0,6342063.0,6288553.0,6246718.0,6786121.0,7063495.0,5490616.0,5816650.0,5815124.0,5567660.0,3769831.0,2671882.0,"District, Hammersmith & City",London Underground,Yes,,,,No
166,677.0,Preston Road,3032114.0,3099533.0,2949387.0,2859090.0,2960512.0,2972873.0,3154183.0,3474593.0,3427709.0,3308379.0,3447448.0,3200118.0,3230285.0,2030454.0,1388173.0,Metropolitan,London Underground,Yes,,,,No
167,678.0,Putney Bridge,5624131.0,5506224.0,5647761.0,5431014.0,5331762.0,5598383.0,5923504.0,5932349.0,5756910.0,5416663.0,5113846.0,5278188.0,5766944.0,2626929.0,2686314.0,District,London Underground,Yes,,,,No
168,679.0,Queensbury,3192282.0,3206121.0,3193258.0,2981736.0,3175666.0,3372174.0,3853332.0,4195103.0,4525278.0,4675024.0,4416312.0,4173051.0,4114533.0,2855288.0,1835750.0,Jubilee,London Underground,Yes,,,,Yes
169,680.0,Queen's Park,5044550.0,5662713.0,5285885.0,5206741.0,5529385.0,5409388.0,5578067.0,5844120.0,5771615.0,5636721.0,7574141.0,7266328.0,7579844.0,3619466.0,3484136.0,"Bakerloo, London Overground",London Underground,Yes,,Yes,,No
170,681.0,Queensway,8044511.999999999,8477115.0,8479415.0,9330912.0,8859128.0,8555667.0,8575808.0,7588751.0,7656619.0,8707156.0,8031860.0,7661884.0,8254515.0,2119882.0,3619504.0,Central,London Underground,Yes,,,,Yes
171,682.0,Ravenscourt Park,2590358.0,2622796.0,2502619.0,2520547.0,2647871.0,2754691.0,2767420.0,2907957.0,3189008.0,3178278.0,3055656.0,3087532.0,3228328.0,1921494.0,1533828.0,District,London Underground,Yes,,,,No
172,683.0,Rayners Lane,3813218.0,3849473.0,3914047.0,3867839.0,3979751.0,3951952.0,4081729.0,4371243.0,4512905.0,4460978.0,4112035.0,3912652.0,4159999.0,2336745.0,1778250.0,"Metropolitan, Piccadilly",London Underground,Yes,,,,No
173,684.0,Redbridge,2270350.0,2358917.0,2555355.0,2605947.0,2633085.0,2566293.0,2672035.0,2908558.0,2934539.0,3054243.0,2789938.0,2715368.0,2804018.0,1564820.0,1259738.0,Central,London Underground,Yes,,,,Yes
174,685.0,Regent's Park,2874342.0,3343794.0,3272235.0,3711215.0,3777683.0,3779666.0,3794744.0,3711179.0,3541481.0,3346006.0,3438858.0,3460614.0,3867435.0,1628977.0,1265551.0,Bakerloo,London Underground,Yes,,,,No
175,686.0,Richmond,7308893.0,7299694.0,7600506.0,7154951.0,7473874.0,7557331.0,7953442.0,8448615.0,8661325.0,8112159.0,11875227.0,11573723.0,11535430.0,4436964.0,4631525.0,"District, London Overground",London Underground,Yes,,Yes,,No
176,687.0,Rickmansworth,1869106.0,1903296.0,1903653.0,1906873.0,2029002.0000000002,2166361.0,2243984.0,2419354.0,2442771.0,2455761.0,2587429.0,2256420.0,2387979.0,1385890.0,1098469.0,Metropolitan,London Underground,Yes,,,,No
177,688.0,Roding Valley,201380.0,206752.0,208714.0,212842.0,220319.0,224256.0,235697.0,255056.99999999997,260651.00000000003,367335.0,352989.0,459286.0,449612.0,190163.0,155226.0,Central,London Underground,Yes,,,,No
178,689.0,Rotherhithe,1293908.0,,,,,,,,,,,,,,,,,,,,,
179,690.0,Royal Oak,1545189.0,1826926.0,1765194.0,1852023.0,2045798.0,2220528.0,2431149.0,2703935.0,2491199.0,2545583.0,2486491.0,2587512.0,2608698.0,1251188.0,1185481.0,"Circle, Hammersmith & City",London Underground,Yes,,,,No
180,691.0,Ruislip,1571122.0,1591374.0,1582373.0,1532460.0,1573058.0,1619948.0,1713378.0,1895875.0,1903105.0,1948970.0,1890042.0,1929049.0,1932543.0,948688.0,821706.0,"Metropolitan, Piccadilly",London Underground,Yes,,,,No
181,692.0,Ruislip Gardens,770555.0,875326.0,958083.0,977597.0,1002292.0,989402.0,1003184.0000000001,1084140.0,1112623.0,1072221.0,1106458.0,1039276.0,1106583.0,549192.0,476607.0,Central,London Underground,Yes,,,,No
